term,category,definition,japanese,example or note,reference
"Streptococcus pneumoniae",Gram-positive coccus,"A Gram-positive lancet-shaped diplococcus causing pneumonia and meningitis.","肺炎球菌","Optochin sensitive; capsule major virulence factor.",""
"Streptococcus pyogenes",Gram-positive coccus,"A Gram-positive β-hemolytic streptococcus (Group A).","A群溶血性連鎖球菌","Causes pharyngitis, impetigo, STSS; streptolysin.",""
"Streptococcus agalactiae",Gram-positive coccus,"A Gram-positive β-hemolytic streptococcus (Group B).","B群溶血性連鎖球菌","Neonatal sepsis and meningitis; CAMP test positive.",""
"Streptococcus mutans",Gram-positive coccus,"An oral streptococcus associated with dental caries.","ミュータンス連鎖球菌","Biofilm formation; glucan production.",""
"Staphylococcus aureus",Gram-positive coccus,"A Gram-positive coagulase-positive coccus forming grape-like clusters.","黄色ブドウ球菌","SSTI, sepsis, food poisoning; MRSA important.",""
"Staphylococcus epidermidis",Gram-positive coccus,"A Gram-positive coagulase-negative skin commensal.","表皮ブドウ球菌","Biofilm formation on devices.",""
"Staphylococcus saprophyticus",Gram-positive coccus,"A Gram-positive coagulase-negative coccus linked to UTIs.","腐性ブドウ球菌","Novobiocin resistant.",""
"Enterococcus faecalis",Gram-positive coccus,"A bile- and salt-tolerant Gram-positive coccus.","腸球菌（フェカリス）","Endocarditis; VRE includes vanA/vanB.",""
"Enterococcus faecium",Gram-positive coccus,"A Gram-positive coccus with high antimicrobial resistance.","腸球菌（フェシウム）","Major cause of VRE outbreaks.",""

"Listeria monocytogenes",Gram-positive rod,"A motile Gram-positive rod causing foodborne illness.","リステリア","Grows at low temperatures; neonatal meningitis.",""
"Bacillus cereus",Gram-positive rod,"A spore-forming Gram-positive rod causing food poisoning.","セレウス菌","Emetic and diarrheal toxins.",""
"Bacillus anthracis",Gram-positive rod,"A spore-forming Gram-positive rod causing anthrax.","炭疽菌","Poly-D-glutamate capsule.",""
"Corynebacterium diphtheriae",Gram-positive rod,"A club-shaped Gram-positive rod producing diphtheria toxin.","ジフテリア菌","Gray pseudomembrane in throat.",""
"Clostridioides difficile",Gram-positive anaerobe,"An anaerobic spore-forming Gram-positive rod.","ディフィシル菌","Toxin A/B; pseudomembranous colitis.",""
"Clostridium botulinum",Gram-positive anaerobe,"An anaerobic spore-forming rod producing botulinum toxin.","ボツリヌス菌","Causes flaccid paralysis.",""
"Clostridium tetani",Gram-positive anaerobe,"An anaerobic rod producing tetanospasmin.","破傷風菌","Muscle spasms, lockjaw.",""

"Escherichia coli",Gram-negative rod,"A facultative Gram-negative rod common in gut flora.","大腸菌","Includes EHEC, ETEC, UPEC; major UTI pathogen.",""
"Klebsiella pneumoniae",Gram-negative rod,"A Gram-negative encapsulated rod causing pneumonia.","肺炎桿菌","String test positive; hypermucoviscous strains.",""
"Enterobacter cloacae",Gram-negative rod,"A Gram-negative rod with inducible AmpC.","エンテロバクター","Hospital-acquired infections.",""
"Serratia marcescens",Gram-negative rod,"A Gram-negative rod producing red pigment.","霊菌","Red colonies; catheter infections.",""
"Proteus mirabilis",Gram-negative rod,"A motile Gram-negative rod with swarming growth.","プロテウス","Urease positive; causes UTIs.",""
"Pseudomonas aeruginosa",Gram-negative rod,"A non-fermenting Gram-negative rod with pigments.","緑膿菌","Highly resistant; causes pneumonia and sepsis.",""
"Acinetobacter baumannii",Gram-negative rod,"A non-fermenting Gram-negative coccobacillus.","アシネトバクター","ICU infections; CRAB critical.",""

"Neisseria meningitidis",Gram-negative coccus,"A Gram-negative diplococcus causing meningitis.","髄膜炎菌","Capsulated; causes DIC and sepsis.",""
"Neisseria gonorrhoeae",Gram-negative coccus,"A Gram-negative diplococcus causing gonorrhea.","淋菌","High antimicrobial resistance.",""

"Haemophilus influenzae",Gram-negative rod,"A small Gram-negative rod requiring factors X/V.","インフルエンザ菌","Type b causes meningitis; NTHi common.",""
"Moraxella catarrhalis",Gram-negative coccus,"A Gram-negative diplococcus causing airway infections.","モラクセラ","β-lactamase producer.",""
"Bordetella pertussis",Gram-negative rod,"A Gram-negative rod causing whooping cough.","百日咳菌","Pertussis toxin important.",""

"Salmonella enterica",Gram-negative rod,"A Gram-negative rod causing gastroenteritis and typhoid.","サルモネラ","Motile; H2S positive.",""
"Shigella sonnei",Gram-negative rod,"A non-motile Gram-negative rod causing dysentery.","赤痢菌","Low infectious dose; shiga toxin possible.",""
"Campylobacter jejuni",Gram-negative rod,"A curved microaerophilic Gram-negative rod.","カンピロバクター","Linked to Guillain–Barré syndrome.",""
"Vibrio cholerae",Gram-negative rod,"A curved Gram-negative rod causing cholera.","コレラ菌","Cholera toxin; grows in alkaline media.",""
"Helicobacter pylori",Gram-negative rod,"A spiral Gram-negative rod causing gastritis and ulcers.","ピロリ菌","Urease positive; triple therapy.",""
