term,category,definition,example or note,reference
Periodic Table,Atomic Structure,"An arrangement of elements in order of increasing atomic number, showing periodic recurrence of chemical properties.","Used to identify atomic weights and valence; e.g., Na, K, Ca are essential cations for cells.",https://artsexperiments.withgoogle.com/periodic-table/?exp=true&lang=ja
Atom,Atomic Structure,The smallest unit of matter retaining the properties of an element.,"Composed of protons, neutrons, and electrons.",
Molecule,Chemical Bond,A group of two or more atoms bonded together by covalent or ionic bonds.,"H₂O, O₂, CO₂ are biologically important molecules.",
Ion,Electrochemistry,An atom or molecule that has gained or lost electrons and carries a charge.,"Na⁺, K⁺, Cl⁻ are vital for membrane potential and osmotic balance.",
Valence,Atomic Structure,"The combining capacity of an element, equal to the number of electrons gained, lost, or shared.","Na has valence +1, O has valence −2.",
Mole (mol),Quantity,The amount of substance containing Avogadro’s number of entities (6.022×10²³).,1 mol of NaCl contains 6.022×10²³ molecules.,
Avogadro’s Number,Quantity,"The number of particles (atoms, ions, or molecules) in one mole of substance (6.022×10²³).",Links microscopic scale to macroscopic mass.,
Molar Mass,Quantity,"The mass of one mole of a substance, expressed in grams per mole (g/mol).",NaCl: 58.44 g/mol.,
Molarity (M),Concentration,Moles of solute per liter of solution (mol/L).,A 1 M NaCl solution contains 1 mol NaCl per liter.,
Normality (N),Concentration,Equivalents of reactive units per liter of solution (Eq/L).,1 N HCl = 1 mol H⁺ per liter; 1 N H₂SO₄ = 0.5 mol/L since 2 H⁺ per molecule.,
Equivalent (Eq),Concentration,The amount of a substance that reacts with or supplies one mole of H⁺ or e⁻.,Used in acid–base or redox chemistry.,
Milliequivalent (mEq),Concentration,"1/1000 of an equivalent, used in biological and medical contexts.",Serum Na⁺ ≈ 140 mEq/L.,
Mole Fraction,Concentration,The ratio of moles of one component to total moles of all components.,Used in gas mixtures and colligative properties.,
Osmole (Osm),Concentration,Number of particles that contribute to osmotic pressure in a solution.,1 mol NaCl → 2 Osm (Na⁺ + Cl⁻).,
pH,Acid–Base,Negative logarithm of hydrogen ion concentration (−log[H⁺]).,Physiological pH ≈ 7.4.,
pKa,Acid–Base,The pH at which half of the species is dissociated.,Weak acids: lower pKa → stronger acid.,
Buffer,Acid–Base,A solution that resists changes in pH upon addition of small amounts of acid or base.,Phosphate buffer system in cytoplasm.,
Redox Reaction,Electrochemistry,A chemical reaction involving electron transfer between species.,Respiratory chain in bacteria involves redox enzymes.,
Oxidation Number,Electrochemistry,A value indicating the degree of oxidation of an atom in a compound.,Fe²⁺ oxidized to Fe³⁺ in cytochromes.,
Energy Level,Atomic Structure,Quantized state where electrons reside around the nucleus.,Electron transitions explain emission spectra.,
Bond Energy,Chemical Bond,The energy required to break one mole of bonds in gas phase.,Reflects bond strength and stability.,
Hydrogen Bond,Intermolecular Force,"Weak attraction between hydrogen atom and electronegative atom (O, N).",Stabilizes DNA base pairing and protein structure.,
Van der Waals Force,Intermolecular Force,Weak intermolecular attraction due to transient dipoles.,Important in antigen–antibody binding.,
Solution,Mixture,A homogeneous mixture of solute and solvent.,NaCl in water.,
Solubility,Mixture,Maximum amount of solute that can dissolve in a solvent at given temperature.,Affects antibiotic precipitation.,
Diffusion,Transport,Movement of particles from high to low concentration due to random motion.,Gas diffusion and nutrient uptake in media.,
Osmosis,Transport,Movement of solvent through semipermeable membrane from low to high solute concentration.,Explains bacterial swelling or plasmolysis.,
Electrolyte,Electrochemistry,A substance that dissociates into ions in solution and conducts electricity.,"NaCl, KCl, CaCl₂.",
Non-electrolyte,Electrochemistry,A compound that does not dissociate into ions in water.,"Glucose, urea.",
Acid,Acid–Base,A proton donor (produces H⁺ in solution).,"HCl, H₂SO₄.",
Base,Acid–Base,A proton acceptor (produces OH⁻ in solution).,"NaOH, NH₃.",
Salt,Acid–Base,An ionic compound formed by acid–base neutralization.,NaCl from HCl + NaOH.,
Concentration Gradient,Transport,Difference in solute concentration across space or membrane.,Drives passive diffusion.,
Catalyst,Kinetics,A substance that increases reaction rate without being consumed.,Enzymes act as biological catalysts.,
Activation Energy,Kinetics,Minimum energy required to initiate a chemical reaction.,Enzymes lower activation energy.,
Thermodynamics,Energy,Study of energy transformations and reaction spontaneity.,ΔG<0 indicates spontaneous reaction.,
Enthalpy (ΔH),Energy,Heat change of a system at constant pressure.,"Exothermic (−ΔH), endothermic (+ΔH).",
Entropy (ΔS),Energy,Degree of disorder or randomness in a system.,Biochemical reactions often increase entropy.,
Gibbs Free Energy (ΔG),Energy,Determines spontaneity: ΔG = ΔH − TΔS.,Negative ΔG → spontaneous process.,
Stoichiometry,Reaction Quantities,Quantitative relationships between reactants and products in a chemical reaction.,Used to prepare media solutions accurately.,
Titration,Analytical Chemistry,A quantitative method to determine concentration by reacting with known volume and concentration.,Used for acid–base standardization.,
Indicator,Analytical Chemistry,A compound that changes color near a reaction’s equivalence point.,"Phenolphthalein, methyl orange.",
Precipitation,Reaction Type,Formation of an insoluble solid in a chemical reaction.,Silver nitrate + chloride → AgCl precipitate.,
Solubility Product (Ksp),Equilibrium,Equilibrium constant for a sparingly soluble ionic compound.,Determines precipitation thresholds in media.,
Equilibrium Constant (K),Equilibrium,Ratio of product to reactant concentrations at equilibrium.,Used to describe reversible biochemical reactions.,
Le Chatelier’s Principle,Equilibrium,A system at equilibrium shifts to counteract imposed changes.,Basis for pH and temperature effects on reactions.,
CFU,Abbreviation,Colony Forming Unit — a measure of viable bacterial or fungal cells that can form colonies on solid media.,"Used to estimate bacterial concentration, e.g., 1×10⁶ CFU/mL.",
Agar,Laboratory Materials,"A gelatinous substance derived from red algae, used as a solidifying agent for culture media.",Agar plates and slants provide solid surfaces for bacterial colony growth.,
Medium,Laboratory Materials,A nutrient mixture that supports the growth of microorganisms in laboratory culture.,"Examples: nutrient agar, blood agar, MacConkey agar.",
Broth,Laboratory Materials,A liquid culture medium that supports microbial growth without a solidifying agent.,"Used for bacterial culture in test tubes or flasks, such as LB broth.",
YPD,Abbreviation,Yeast Potato Dextrose,,
PDA,Abbreviation,Potata Dextrose Agar,,
YNB,Abbreviation,Yeast Nitrogen Base,,
MH-II,Abbreviation,Muller-Hinton II,cation adjusted MH,
Unit,,,"E (exa): 10^18, P (peta): 10^15, T (tera): 10^12, G (giga): 10^9, M (mega): 10^6, k (kilo): 10^3, h (hecto): 10^2, da (deca): 10^1, ― (unit): 10^0, d (deci): 10^-1, c (centi): 10^-2, m (milli): 10^-3, µ (micro): 10^-6, n (nano): 10^-9, p (pico): 10^-12, f (femto): 10^-15",
PBS,Abbreviation,Phosphate Buffered Saline,"A buffer solution (pH ~ 7.4) commonly used in biological research. It is isotonic and non-toxic to most cells, making it ideal for substance dilution and cell container rinsing. It is a water-based salt solution typically containing sodium chloride, potassium chloride, potassium dihydrogen phosphate, and disodium hydrogen phosphate.",
NS,Abbreviation, Normal Saline (0.9% NaCl solution), "A sterile, isotonic solution of 0.90% w/v sodium chloride (salt) in water. It is widely used in medicine as an intravenous (IV) solution for hydration and to treat conditions like dehydration or hypovolemia. It is also referred to as physiological saline.""",
TBS,Abbreviation, Tris Buffered Saline,"A common pH-stabilizing biological buffer due to its low toxicity. It is prepared with Tris and sodium chloride and has a buffering capacity in the 7–9.2 pH range. It is often used in immunoassays and immunostaining procedures for washing, blotting, and diluting.",
